subject,condition,rms,peak_frequency,band_power_8_12,band_power_3_8,relative_power_8_12,total_power,fs,duration,n_samples
Helena,fat_rest,0.04031311152947051,13.748690600895152,0.0003614691295077164,0.00045661832390673113,0.2126872804398862,0.0016995333654185392,100.56185125226169,21.002,2112
Helena,fat_post,0.07907425317458786,10.210942758919128,0.0024276203945490103,0.0017246604820013677,0.3891120828839914,0.006238871783564668,100.53851331858833,20.798,2091
Laura,rest,0.017417663858377296,11.000389825553066,0.00012830850577349174,6.004128116579791e-05,0.4333723482951326,0.00029606989527193334,100.57499269077088,20.522,2064
Laura,post,0.07104612267971107,9.821047458156983,0.0020560529799162506,0.0010558370947724226,0.4153731147608856,0.004949894220043205,100.5675259715275,20.792,2091
Laura,fat_rest,0.008762391996265469,12.1784217705466,2.3638496773136773e-05,2.205253885830905e-05,0.29184511589797746,8.099671875749418e-05,100.57019268580416,20.344,2046
Laura,fat_post,0.09818194836269296,9.82026260088132,0.004947349178087341,0.001281033016735231,0.5349788823517778,0.009247746670557715,100.5594890330247,20.197,2031
Luis,rest,0.01360453358945938,10.212794857394023,6.615302980871453e-05,3.707149013824728e-05,0.3490714700699793,0.00018951141952521257,100.55674936511038,20.476,2059
Luis,post,0.04779912880542106,9.426785881471773,0.0007305944806979139,0.000979442631856927,0.3151759516387628,0.002318052747676894,100.55238273569891,21.362,2148
Luis,fat_rest,0.01665739013300883,10.605624848631628,0.0001442894781221629,7.107815931613637e-05,0.49773168876632734,0.0002898940963148184,100.55703560184064,20.645,2076
Luis,fat_post,0.043802336540688144,4.713351003137777,0.0004748938032631229,0.0010296425663930489,0.24887328832311317,0.0019081750655641533,100.55148806693924,21.034,2115
María,rest,0.00839445562443096,9.430527681237457,2.8095503742958592e-05,1.6376381099309215e-05,0.36884651025593185,7.617126084089542e-05,100.59229526653287,20.429,2055
María,post,0.05111161837597692,9.429808798159863,0.0007823786522903885,0.0010340846682159815,0.3016731417617716,0.0025934647271589903,100.58462718037187,20.868,2099
María,fat_rest,0.008663107939308606,11.392976482146324,2.6449841127546534e-05,1.9757230136692185e-05,0.3423656708954999,7.725611349515181e-05,100.57248204929168,20.612,2073
María,fat_post,0.050343457545935236,9.821286624428847,0.0010637270080920158,0.0006673278902387523,0.41346671809314495,0.0025727028598523894,100.5699750341514,21.229,2135
Miguel,rest,0.010513874973991854,14.53371346856374,9.763326071608353e-06,1.480713691830305e-05,0.09494831001869687,0.00010282780251366027,100.55758507979236,20.804,2092
Miguel,post,0.04900414164521432,9.427093488009358,0.0007005937948423215,0.0009119597736030743,0.29818424617411193,0.002349533229308297,100.55566387209983,20.516,2063
Miguel,fat_rest,0.014800384047751317,14.139800311329473,3.683934691209967e-05,3.563933292500124e-05,0.1667635462287791,0.0002209076728409254,100.54969110278738,20.557,2067
Miguel,fat_post,0.03978935936452655,7.855654543676981,0.0004205206475626194,0.0007331943088883685,0.2670876276192544,0.001574466969177961,100.55237815906536,20.457,2057
Raúl,rest,0.010988307734675906,11.002708905081859,5.157377430423992e-05,2.741693264699076e-05,0.44072403696406315,0.00011702056157296742,100.59619570360556,21.134,2126
Raúl,post,0.0975780943248062,5.500730994152047,0.0025974568949663408,0.004647182169701301,0.25776642221592305,0.010076785302899268,100.58479532163743,20.52,2064
Raúl,fat_rest,0.008125306386501115,9.822040253295809,2.541147693802925e-05,1.709047763570063e-05,0.37389760687276674,6.796373250571913e-05,100.57769219374907,20.253,2037
Raúl,fat_post,0.05302732041352367,3.9287106519832378,0.0008020670980417356,0.0014070488908731658,0.28543066877018547,0.0028100242398532162,100.57499269077088,20.522,2064
Sánchez,rest,0.014582644976891022,13.748873914184802,5.658329193341342e-05,5.246416354955125e-05,0.26772637037728636,0.00021134747336870442,100.56319205803742,20.952,2107
Sánchez,post,0.08108509399354537,4.713763040958269,0.0018627546751532706,0.0022508739107748787,0.28994871622983387,0.006424428082919048,100.56027820710973,20.704,2082
Sánchez,fat_rest,0.016175593794716128,7.463077781800628,6.80384725113299e-05,0.00010600439516469591,0.26589752789361437,0.0002558823056773664,100.55515327057688,20.715,2083
Sánchez,fat_post,0.07171260234035938,9.819968515083472,0.0015394336655680841,0.00165506386821065,0.29560446490861003,0.005207748354017657,100.55647759445475,20.486,2060
Violeta,rest,0.017292933892491685,10.999662845583279,0.00013210466801345588,3.878051611306608e-05,0.43450238269540187,0.0003040366941003978,100.5683460167614,20.762,2088
Violeta,post,0.059210705073192,4.320891657677976,0.0007717388503112402,0.0016421697465661578,0.22068948920725423,0.0034969442952785287,100.55893312414199,20.396,2051
Violeta,fat_rest,0.01820955946552662,11.783994066223872,8.430340036003954e-05,7.132165261909322e-05,0.25827273184507665,0.0003264123152211377,100.55674936511038,20.476,2059
Violeta,fat_post,0.06246837686241963,5.498969796438861,0.0008826981226404162,0.0018971532101486697,0.22326699370064523,0.003953554029683095,100.55259056345346,21.173,2129
